slug,name,category_hint,confidence,proposed_tags,show_categories,music_subgenres,audience_vibe,attraction_tags,reasoning,elapsed_s,validation_warnings,proposed_tags adjustments
hollywood-wax-museum-entertainment-center,Hollywood Wax Museum Entertainment Center,attraction,0.7,"family,indoor,educational,relaxed,all-day",,,family,"indoor,educational,relaxed,all-day",The description suggests it is an indoor attraction with educational value suitable for families.,6.4,,
hot-rods-high-heels,Hot Rods & High Heels,show,0.7,"comedy,variety,adult-humor,date-night,indoor,1-2hr","comedy,variety",,"adult-humor,date-night","indoor,1-2hr",The show title and description suggest an adult-oriented variety show.,6.3,,
hughes-music-show,Hughes Music Show,show,0.7,"music,family,date-night,indoor,1-2hr",music,,"family,date-night","indoor,1-2hr","The name 'Hughes Music Show' strongly suggests a music performance, and typical Branson shows are often family-friendly and suitable for date nights.",6.8,,
jimmy-fortune,Jimmy Fortune,show,0.7,"music,country,gospel,family,date-night",music,"country,gospel","family,date-night",,"Jimmy Fortune is known for country and gospel music, suitable for family and date night audiences.",6.5,,
josh-turner,Josh Turner,show,0.7,"music,country,oldies-80s,family,date-night",music,"country,oldies-80s","family,date-night",,Josh Turner is known for country music and his style often includes oldies from the 80s.,7.0,,
kentucky-headhunters,Kentucky Headhunters,show,0.7,"music,rock,country,adult-humor,date-night",music,"rock,country","adult-humor,date-night",,"The Kentucky Headhunters are known for rock and country music, suitable for adult audiences.",6.5,,
melody-hart-the-all-star-band,Melody Hart & The All Star Band,show,0.7,"music,country,oldies-50s,oldies-60s,oldies-70s,oldies-80s,family,date-night,indoor,1-2hr,relaxed",music,"country,oldies-50s,oldies-60s,oldies-70s,oldies-80s","family,date-night","indoor,1-2hr,relaxed",The show is described as heartwarming and likely features classic country music.,9.6,,
nashville-roadhouse-live,Nashville Roadhouse Live,show,0.7,"music,country,oldies-50s,oldies-60s,oldies-70s,oldies-80s,family,date-night,indoor,all-day,1-2hr",music,"country,oldies-50s,oldies-60s,oldies-70s,oldies-80s","family,date-night","indoor,all-day,1-2hr","The show is described as award-winning and likely features country music with oldies, suitable for families and dates.",10.1,,-all-day
pierce-arrow-30th-anniversary,Pierce Arrow 30th Anniversary,show,0.7,"music,country,family,date-night,indoor,1-2hr",music,country,"family,date-night","indoor,1-2hr",The show is described as a music performance with a country focus and typical duration.,7.3,,
pierce-arrow-decades,Pierce Arrow: Decades,show,0.7,"music,variety,oldies-50s,oldies-60s,oldies-70s,oldies-80s,adult-humor,date-night,indoor,all-day","music,variety","oldies-50s,oldies-60s,oldies-70s,oldies-80s","adult-humor,date-night","indoor,all-day",The show features music from various decades and likely has a variety format.,9.7,,
pink-jeep-tours,Pink Jeep Tours,attraction,0.7,"family,outdoor,active,educational,half-day",,,family,"outdoor,active,educational,half-day","The description suggests an outdoor tour that likely involves education and activity, suitable for families.",6.4,,
rick-mcewen-presents-the-gambler,Rick McEwen Presents The Gambler,show,0.7,"tribute,adult-humor,date-night,indoor,1-2hr",tribute,,"adult-humor,date-night","indoor,1-2hr",The show is likely a tribute act with an adult-oriented audience.,6.4,,
riga-tony-s-murder-mystery-dinner-show,Riga-Tony’s Murder Mystery Dinner Show,show,0.7,"variety,adult-humor,date-night,indoor,food,active,all-day",variety,,"adult-humor,date-night","indoor,food,active,all-day",Murder mystery dinner show typically involves adult humor and is suitable for date nights.,6.6,,-all-day
rock-n-roll-sunrise,Rock N Roll Sunrise,show,0.7,"music,rock,oldies-50s,oldies-60s,oldies-70s,oldies-80s,adult-humor,date-night",music,"rock,oldies-50s,oldies-60s,oldies-70s,oldies-80s","adult-humor,date-night",,The show is clearly a music performance with rock and oldies themes.,8.3,,
separate-journeys,Separate Journeys,show,0.7,"music,adult-humor,date-night",music,,"adult-humor,date-night",,The show is music-based and likely caters to adult audiences.,5.3,,
shepherd-of-the-hills-historic-homestead-tour,Shepherd of the Hills Historic Homestead Tour,attraction,0.7,"family,indoor,outdoor,educational,history,relaxed,under-1hr,1-2hr",,,family,"indoor,outdoor,educational,history,relaxed,under-1hr,1-2hr",The description suggests a historical tour that is likely family-friendly and educational.,7.4,attraction_tags: unknown tag 'history',
shepherd-of-the-hills-inspiration-tower,Shepherd of the Hills Inspiration Tower,attraction,0.7,"family,indoor,educational,relaxed,half-day",,,family,"indoor,educational,relaxed,half-day",The description suggests it is an indoor attraction with a family-friendly and educational focus.,6.4,,"-half-day,1-2hr,outdoor,-indoor"
shepherd-s-great-american-chuckwagon-dinner-show,Shepherd’s Great American Chuckwagon Dinner Show,show,0.7,"variety,family,date-night,indoor,food,active,all-day",variety,,"family,date-night","indoor,food,active,all-day","The description suggests a variety show with dinner, likely suitable for families and dates.",6.4,,"-indoor,outdoor,-all-day,half-day"
shepherd-s-wild-west-showdown,Shepherd’s Wild West Showdown,show,0.7,"variety,family,adult-humor,indoor,1-2hr",variety,,"family,adult-humor","indoor,1-2hr","The description suggests a variety show with wild west theme, suitable for family and adults.",6.7,,"-indoor,outdoor,-adult-humor"
silver-dollar-cityand8217-s-showboat,Branson Showboat,show,0.7,"variety,family,date-night,indoor,all-day",variety,,"family,date-night","indoor,all-day","The description suggests a variety show suitable for families and couples, likely indoors with a duration of about 2 hours.",6.7,,"-all-day,2-3hr"
strait-to-branson-a-george-strait-tribute,Strait to Branson - A George Strait Tribute,show,0.7,"tribute,country,oldies-80s,oldies-90s,adult-humor,date-night,indoor,1-2hr",tribute,"country,oldies-80s,oldies-90s","adult-humor,date-night","indoor,1-2hr","The show is clearly a tribute to George Strait, an iconic country music artist.",8.0,music_subgenres: unknown tag 'oldies-90s',
the-duttons,The Duttons,show,0.7,"music,family,date-night,indoor,1-2hr",music,,"family,date-night","indoor,1-2hr",The Duttons is likely a music show given the category hint and typical Branson shows.,6.2,,
the-haygoods,The Haygoods,show,0.7,"music,gospel,country,family",music,"gospel,country",family,,"The Haygoods is likely a music show with gospel and country influences, suitable for family audiences.",6.1,,
the-heatherlys-hits-on-route-66,The Heatherlys Hits On Route 66,show,0.7,"music,country,oldies-50s,oldies-60s,oldies-70s,family,date-night",music,"country,oldies-50s,oldies-60s,oldies-70s","family,date-night",,The show is from an Americana Theatre and likely features music from the Route 66 era.,8.1,,
the-revollusionists,The Revollusionists,show,0.7,"variety,family,date-night,indoor,1-2hr",variety,,"family,date-night","indoor,1-2hr",The name suggests a variety show with likely family-friendly and date-night appeal.,6.3,,magic
the-social-birdy-putting-golf,The Social Birdy Putting Golf,attraction,0.7,"family,date-night,indoor,active,all-day,under-1hr,1-2hr",,,"family,date-night","indoor,active,all-day,under-1hr,1-2hr",The description suggests a family-friendly indoor activity with an approximate duration of 2 hours.,7.4,,"-indoor,outdoor"
the-sons-of-britches,The Sons of Britches,show,0.7,"music,oldies-50s,oldies-60s,oldies-70s,oldies-80s,family,date-night,indoor,relaxed,all-day",music,"oldies-50s,oldies-60s,oldies-70s,oldies-80s","family,date-night","indoor,relaxed,all-day",The show description suggests a family-friendly music performance with sing-along tunes from various decades.,9.1,,"-all-day,1-2hr"
truth-traveler,Truth Traveler,attraction,0.7,"outdoor,active,half-day",,,,"outdoor,active,half-day",The description suggests an outdoor activity lasting about 2 hours.,5.7,,
veterans-memorial-museum,Veterans Memorial Museum,attraction,0.7,"family,indoor,educational,relaxed,history,under-1hr,1-2hr",,,family,"indoor,educational,relaxed,history,under-1hr,1-2hr","The description suggests it is an indoor museum with a focus on education and history, suitable for families.",7.6,attraction_tags: unknown tag 'history',
white-water,White Water,attraction,0.7,"family,outdoor,water,all-day",,,family,"outdoor,water,all-day",White Water is likely a water-based attraction suitable for families.,5.8,,half-day
wonderworks,WonderWorks,attraction,0.7,"family,date-night,indoor,educational,active,1-2hr",,,"family,date-night","indoor,educational,active,1-2hr",WonderWorks is typically an interactive indoor attraction suitable for families and dates.,7.0,,
1-hits-of-the-60s-and-50s-too,#1 Hits of the 60s (and 50s Too!),family,0.8,"music,variety,oldies-50s,oldies-60s,family,indoor,active,all-day","music,variety","oldies-50s,oldies-60s",family,"indoor,active,all-day","The show features interactive music and games, clearly targeting a family audience.",10.8,,"-all-day,1-2hr"
a-garth-tribute,A Garth Tribute,show,0.8,"tribute,adult-humor,date-night,indoor,1-2hr",tribute,,"adult-humor,date-night","indoor,1-2hr","The show is clearly a tribute to Garth, likely involving music but specific genre not mentioned.",7.0,,
aaron-wayne-comedy-hypnosis-show,Aaron Wayne Comedy Hypnosis Show,show,0.8,"comedy,magic,adult-humor,date-night,indoor,1-2hr","comedy,magic",,"adult-humor,date-night","indoor,1-2hr","The show description indicates comedy and hypnosis, which aligns with comedy and magic categories.",7.0,,
abby-lee-miller-live-at-the-top-of-the-pyramid,Abby Lee Miller: Live At The Top Of The Pyramid,show,0.8,"music,tribute,adult-humor,date-night,indoor,1-2hr","music,tribute",,"adult-humor,date-night","indoor,1-2hr",The show features a celebrity known for adult-oriented content and is likely to attract an older audience.,6.5,,
best-of-dean-martin-tribute,Best of Dean Martin Tribute,show,0.8,"tribute,oldies-50s,oldies-60s,adult-humor,date-night",tribute,"oldies-50s,oldies-60s","adult-humor,date-night",,"The show is a tribute to Dean Martin, who was popular in the 50s and 60s.",8.0,,
branson-comedy-bash-dinner-show,Branson Comedy Bash Dinner Show,show,0.8,"comedy,adult-humor,date-night,indoor,1-2hr,food",comedy,,"adult-humor,date-night","indoor,1-2hr,food",The show is clearly described as a comedy dinner show.,6.0,,
branson-murder-mystery-show,Branson Murder Mystery Show,show,0.8,"comedy,adult-humor,date-night,indoor,1-2hr",comedy,,"adult-humor,date-night","indoor,1-2hr","The show is explicitly described as comedy and rated highly, suggesting an adult-oriented experience.",6.3,,
branson-zipline-at-wolfe-mountain,Branson Zipline at Wolfe Mountain,attraction,0.8,"active,thrill,outdoor,ride,all-day,1-2hr",,,"active,thrill","outdoor,ride,all-day,1-2hr","The description indicates it is an outdoor activity involving ziplining, which fits the tags and categories provided.",7.3,audience_vibe: unknown tag 'active'; audience_vibe: unknown tag 'thrill',
bransons-wild-world,Branson's Wild World,attraction,0.8,"family,kid-focused,indoor,outdoor,animals,all-day",,,"family,kid-focused","indoor,outdoor,animals,all-day",The description clearly indicates it is a zoo with animal encounters.,6.4,,
brett-daniels,Brett Daniels,show,0.8,"comedy,adult-humor,date-night,indoor,1-2hr",comedy,,"adult-humor,date-night","indoor,1-2hr",Brett Daniels is likely a comedy show with adult humor.,6.5,,
british-invasion,British Invasion,show,0.8,"music,tribute,oldies-60s,adult-humor,date-night,indoor,1-2hr","music,tribute",oldies-60s,"adult-humor,date-night","indoor,1-2hr",The show is clearly a music tribute to the British Invasion era of the 60s.,8.2,,
carpenters-once-more,Carpenters Once More,show,0.8,"tribute,oldies-70s,pop,adult-humor,date-night,indoor,relaxed,under-1hr",tribute,"oldies-70s,pop","adult-humor,date-night","indoor,relaxed,under-1hr","The show is a tribute to the Carpenters, known for their pop and oldies music from the 70s.",8.5,,
classic-rock-icons,Classic Rock Icons,show,0.8,"music,tribute,rock,oldies-70s,oldies-80s,adult-humor,date-night","music,tribute","rock,oldies-70s,oldies-80s","adult-humor,date-night",,The show is clearly a music tribute with classic rock themes.,7.7,,
coral-reef-mini-golf,Coral Reef Mini Golf,attraction,0.8,"family,kid-focused,outdoor,active,all-day",,,"family,kid-focused","outdoor,active,all-day",Mini golf is typically a family-friendly outdoor activity.,6.3,,
dan-wagner-s-johnny-cash-friends-tribute,Dan Wagner’s Johnny Cash & Friends Tribute,show,0.8,"tribute,country,oldies-60s,oldies-70s,family,date-night,indoor,1-2hr,relaxed",tribute,"country,oldies-60s,oldies-70s","family,date-night","indoor,1-2hr,relaxed",The show is clearly a tribute to Johnny Cash with strong country and oldies music elements.,8.3,,
darryl-worley,Darryl Worley,show,0.8,"music,country,oldies-90s,family,date-night",music,"country,oldies-90s","family,date-night",,"Darryl Worley is a platinum-selling country music artist, likely attracting family and date night audiences.",6.8,music_subgenres: unknown tag 'oldies-90s',
david-sight-sound-theatres,DAVID (Sight & Sound Theatres),show,0.8,"drama,tribute,family,date-night,indoor,educational,all-day","drama,tribute",,"family,date-night","indoor,educational,all-day","The description indicates a large-scale biblical production with live animals and original music, suggesting drama and educational value.",7.6,,
dean-z-the-ultimate-elvis,Dean Z - The Ultimate Elvis,show,0.8,"tribute,oldies-50s,oldies-60s,adult-humor,date-night",tribute,"oldies-50s,oldies-60s","adult-humor,date-night",,"The show is a tribute to Elvis Presley, covering his music from the 50s and 60s.",7.5,,
doo-wop-more,Doo Wop & More,show,0.8,"music,oldies-50s,oldies-50s,family,date-night,indoor,relaxed,1-2hr","music,oldies-50s",oldies-50s,"family,date-night","indoor,relaxed,1-2hr",The show title and description clearly indicate a music performance focused on doo wop from the 50s era.,8.7,show_categories: unknown tag 'oldies-50s',
doug-gabriel-the-ultimate-variety-show,Doug Gabriel - The Ultimate Variety Show,show,0.8,"variety,adult-humor,date-night,indoor,1-2hr",variety,,"adult-humor,date-night","indoor,1-2hr","The description indicates it is a variety show, suitable for adults and likely indoors.",6.4,,
fritzs-adventure,Fritz's Adventure,attraction,0.8,"active,indoor,outdoor,ride,active,thrill,1-2hr",,,active,"indoor,outdoor,ride,active,thrill,1-2hr",The description clearly indicates an adventure park with physical activities.,6.7,audience_vibe: unknown tag 'active',
jerry-presley-elvis-live,Jerry Presley Elvis Live!,show,0.8,"tribute,oldies-50s,oldies-60s,adult-humor,date-night,indoor,relaxed,1-2hr",tribute,"oldies-50s,oldies-60s","adult-humor,date-night","indoor,relaxed,1-2hr","The show is a tribute to Elvis Presley, known for his music from the 50s and 60s.",8.9,,
kenny-rogers-tribute,Kenny Rogers Tribute,show,0.8,"tribute,country,oldies-70s,oldies-80s,adult-humor,date-night,indoor,1-2hr",tribute,"country,oldies-70s,oldies-80s","adult-humor,date-night","indoor,1-2hr","The show is a tribute to Kenny Rogers, an artist known for country and oldies music.",8.0,,
malpass-brothers-friends,Malpass Brothers & Friends,show,0.8,"music,country,bluegrass,family,date-night",music,"country,bluegrass","family,date-night",,"The show features country and bluegrass music, suitable for family and date night audiences.",6.3,,
menopause-the-musical,Menopause The Musical,show,0.8,"comedy,music,adult-humor,date-night,indoor,1-2hr","comedy,music",,"adult-humor,date-night","indoor,1-2hr","The show is described as a musical comedy, likely adult-oriented.",6.7,,
motown-downtown,Motown Downtown,show,0.8,"music,tribute,oldies-60s,oldies-70s,adult-humor,date-night,indoor,relaxed,1-2hr","music,tribute","oldies-60s,oldies-70s","adult-humor,date-night","indoor,relaxed,1-2hr","The show is clearly a music tribute to Motown era, suitable for adults.",8.3,,
new-jersey-nights,New Jersey Nights,show,0.8,"tribute,oldies-60s,oldies-70s,adult-humor,date-night,indoor,1-2hr",tribute,"oldies-60s,oldies-70s","adult-humor,date-night","indoor,1-2hr","The show is a tribute to Frankie Valli and The Four Seasons, indicating oldies music from the 60s and 70s.",8.6,,
orbison-still,Orbison Still,show,0.8,"tribute,rock,oldies-50s,oldies-60s,adult-humor,date-night",tribute,"rock,oldies-50s,oldies-60s","adult-humor,date-night",,"The show is a tribute to Roy Orbison, who was known for rock and oldies music.",8.0,,
outpost-opry-variety-show-w-joey-garland,Outpost Opry Variety Show w/ Joey Garland,show,0.8,"variety,family,date-night,indoor,1-2hr",variety,,"family,date-night","indoor,1-2hr",The show is described as a variety show with no specific music genre mentioned.,6.5,,
ozarks-country,Ozarks Country,family,0.8,"music,country,family",music,country,family,,The show is described as a family-friendly country music event.,5.4,,
patsy-to-patsy,Patsy to Patsy,show,0.8,"music,tribute,country,oldies-60s,oldies-70s,family,date-night","music,tribute","country,oldies-60s,oldies-70s","family,date-night",,"The show features music from a specific artist and era, likely including country and oldies.",7.5,,
pierce-arrow-gospel,Pierce Arrow Gospel,show,0.8,"music,gospel,gospel,family,adult-humor,indoor,relaxed,all-day","music,gospel",gospel,"family,adult-humor","indoor,relaxed,all-day",The show is clearly a gospel music performance with family-friendly and adult-oriented content.,7.5,show_categories: unknown tag 'gospel',
queens-of-soul,Queens of Soul,show,0.8,"tribute,oldies-60s,oldies-70s,adult-humor,date-night,indoor,1-2hr",tribute,"oldies-60s,oldies-70s","adult-humor,date-night","indoor,1-2hr","The show is a tribute to soul music, likely featuring oldies from the 60s and 70s.",9.0,,
re-vibe-dinner-show,Re-Vibe Dinner Show,show,0.8,"music,family,indoor,1-2hr",music,,family,"indoor,1-2hr",The description indicates a family-friendly music show with a clear duration.,5.7,,
reza-edge-of-illusion,Reza Edge of Illusion,show,0.8,"magic,variety,adult-humor,date-night,indoor,relaxed,1-2hr","magic,variety",,"adult-humor,date-night","indoor,relaxed,1-2hr","REZA is known for magic and variety shows, suitable for adults with a relaxed atmosphere.",7.6,,
ripley-s-believe-it-or-not,Ripley's Believe It or Not,family,0.8,"family,indoor,active,educational,all-day,under-1hr",,,family,"indoor,active,educational,all-day,under-1hr",Clear indication of family-friendly and interactive exhibits.,6.2,,
runaway-mountain-coaster,Runaway Mountain Coaster,attraction,0.8,"family,outdoor,ride,thrill,under-1hr",,,family,"outdoor,ride,thrill,under-1hr",Coaster is clearly an attraction with thrill and ride tags.,6.2,,
shanghai-circus,Shanghai Circus,family,0.8,"variety,family,kid-focused,indoor,active,thrill,1-2hr",variety,,"family,kid-focused","indoor,active,thrill,1-2hr",The description clearly indicates a variety show with family-friendly acrobatics.,6.3,,
shepherd-of-the-hills-outdoor-drama,Shepherd of the Hills Outdoor Drama,show,0.8,"drama,family,date-night,outdoor,1-2hr",drama,,"family,date-night","outdoor,1-2hr",The description indicates it is an outdoor drama show suitable for families and dates.,6.0,,
shepherd-of-the-hills-vigilante-extreme-ziprider,Shepherd of the Hills Vigilante Extreme ZipRider,attraction,0.8,"adult-humor,date-night,outdoor,ride,thrill,half-day",,,"adult-humor,date-night","outdoor,ride,thrill,half-day",The description indicates it is an outdoor ride attraction with a thrill factor.,6.7,,
smoke-on-the-mountain,Smoke On The Mountain,show,0.8,"music,tribute,gospel,country,family,date-night,indoor,relaxed,1-2hr","music,tribute","gospel,country","family,date-night","indoor,relaxed,1-2hr","The show is clearly a music tribute with gospel and country elements, suitable for families and dates.",7.7,,
snowflex-tubing-at-wolfe-mountain,Snowflex Tubing at Wolfe Mountain,attraction,0.8,"family,outdoor,active,thrill,half-day",,,family,"outdoor,active,thrill,half-day",Clear indication of an outdoor winter activity with a specified duration.,6.1,,
steve-sanders-the-mind-spy,Steve Sanders The Mind Spy,show,0.8,"magic,adult-humor,family,indoor,1-2hr",magic,,"adult-humor,family","indoor,1-2hr",The show description suggests a magic performance suitable for both adults and families.,6.0,,
the-bellamy-brothers,The Bellamy Brothers,show,0.8,"music,country,rock,adult-humor,date-night",music,"country,rock","adult-humor,date-night",,"The Bellamy Brothers are known for country and rock music, suitable for adult audiences.",6.5,,
the-mountain-hollers-family-band,The Mountain Hollers Family Band,show,0.8,"music,country,bluegrass,family,indoor,1-2hr",music,"country,bluegrass",family,"indoor,1-2hr","The show features a family band with roots in the Ozarks, suggesting country and bluegrass music.",6.9,,
the-texas-tenors,The Texas Tenors,show,0.8,"music,country,oldies-50s,oldies-60s,oldies-70s,family,date-night",music,"country,oldies-50s,oldies-60s,oldies-70s","family,date-night",,The Texas Tenors is a well-known musical act with strong country and oldies influences.,8.5,,
ultimate-70s-show,Ultimate 70s Show,show,0.8,"music,variety,oldies-70s,pop,rock,adult-humor,date-night,indoor,all-day,1-2hr","music,variety","oldies-70s,pop,rock","adult-humor,date-night","indoor,all-day,1-2hr",The show features music from the 70s and includes pop and rock genres.,8.4,,
ultimate-elvis-contest-headliner-act-cote-deonath,Ultimate Elvis Contest Headliner Act: Cote Deonath,show,0.8,"tribute,oldies-50s,oldies-60s,adult-humor,date-night,indoor,1-2hr",tribute,"oldies-50s,oldies-60s","adult-humor,date-night","indoor,1-2hr","The show is a tribute to Elvis, covering his music from the 50s and 60s.",8.3,,
whodunnit-hoedown-murder-mystery-dinner-show,WhoDunnit Hoedown Murder Mystery Dinner Show,show,0.8,"variety,drama,country,family,indoor,food,educational,1-2hr","variety,drama",country,family,"indoor,food,educational,1-2hr",The show is a murder mystery dinner with family-friendly content and country music.,7.5,,
world-s-largest-toy-museum-complex,World's Largest Toy Museum Complex,attraction,0.8,"family,indoor,educational,relaxed,all-day",,,family,"indoor,educational,relaxed,all-day","The description indicates it is a museum with toys, suitable for families and likely educational.",6.5,,
a-neil-diamond-tribute-ft-keith-allynn,A Neil Diamond Tribute ft. Keith Allynn,show,0.9,"tribute,oldies-70s,oldies-80s,adult-humor,date-night",tribute,"oldies-70s,oldies-80s","adult-humor,date-night",,Clear tribute show with specific music subgenres.,6.7,,
america-s-top-country-hits,America's Top Country Hits,family,0.9,"music,country,oldies-50s,oldies-60s,oldies-70s,oldies-80s,family",music,"country,oldies-50s,oldies-60s,oldies-70s,oldies-80s",family,,"The show is explicitly described as featuring top country hits, implying a family-friendly audience and multiple decades of music.",8.3,,
aquarium-at-the-boardwalk,Aquarium At The Boardwalk,attraction,0.9,"family,indoor,animals,educational,1-2hr",,,family,"indoor,animals,educational,1-2hr","The description indicates it is an aquarium, which typically falls under indoor attractions with animals and educational value.",6.8,,
