slug,name,category_hint,confidence,proposed_tags,show_categories,music_subgenres,audience_vibe,attraction_tags,reasoning,elapsed_s,validation_warnings,agrees_with_teaching
best-of-dean-martin-tribute,Best of Dean Martin Tribute,show,0.82,"music,tribute,oldies-50s,oldies-60s,family,date-night,indoor,relaxed,1-2hr","music,tribute","oldies-50s,oldies-60s","family,date-night","indoor,relaxed,1-2hr",Dean Martin tribute show clearly fits music and tribute categories with 50s/60s era songs; family and date-night audience typical for this style; 2-hour duration maps to 1-2hr tag.,2.9,,
bluegrass-bbq-festival,Bluegrass & BBQ Festival,family,0.88,"music,bluegrass,family,outdoor,food,active,half-day,all-day",music,bluegrass,family,"outdoor,food,active,half-day,all-day","A 6-hour bluegrass music festival at Silver Dollar City with BBQ food, live top acts, and family-friendly appeal clearly maps to music/bluegrass, family vibe, and outdoor food event with half-day to a",3.7,,
bohemian-queen,Bohemian Queen,show,0.75,"music,variety,rock,oldies-70s,oldies-80s,adult-humor,date-night,indoor,1-2hr","music,variety","rock,oldies-70s,oldies-80s","adult-humor,date-night","indoor,1-2hr","Bohemian Queen is a theatrical music/variety show likely featuring Queen and similar rock acts from the 70s-80s era, appealing to adult and date-night audiences, with a 2-hour indoor runtime.",6.3,,no
branson-comedy-bash-dinner-show,Branson Comedy Bash Dinner Show,show,0.75,"comedy,variety,family,adult-humor,date-night,indoor,food,1-2hr","comedy,variety",,"family,adult-humor,date-night","indoor,food,1-2hr","A comedy dinner show featuring Branson personalities suggests variety/comedy with food, family and adult-humor appeal, and a 2-hour indoor format.",3.3,,
branson-murder-mystery-show,Branson Murder Mystery Show,show,0.75,"comedy,variety,adult-humor,date-night,family,indoor,food,active,1-2hr","comedy,variety",,"adult-humor,date-night,family","indoor,food,active,1-2hr","Murder mystery shows are typically comedy-variety format with adult humor and date-night appeal, indoor setting, and the 2hr duration fits the 1-2hr bracket.",2.9,,
branson-s-famous-baldknobbers,Branson’s Famous Baldknobbers,show,0.85,"music,variety,country,family,date-night,indoor,1-2hr","music,variety",country,"family,date-night","indoor,1-2hr","Branson's Famous Baldknobbers is a long-running variety and music show with country music, family-friendly appeal, and a 2-hour duration based on teaching examples.",2.4,,no
brett-daniels,Brett Daniels,show,0.8,"magic,variety,family,date-night,indoor,1-2hr","magic,variety",,"family,date-night","indoor,1-2hr","Brett Daniels is a well-known magician in Branson, and the 2-hour duration fits the 1-2hr tag; family and date-night are typical for magic/variety shows.",2.8,,
british-invasion,British Invasion,show,0.88,"music,tribute,rock,oldies-60s,family,date-night,indoor,1-2hr","music,tribute","rock,oldies-60s","family,date-night","indoor,1-2hr","British Invasion is clearly a tribute show celebrating 1960s British rock music (Beatles era), suitable for families and date nights, with a 2-hour duration.",2.7,,
broadway-to-buble-starring-george-dyer,Broadway to Buble starring George Dyer,show,0.7,"music,variety,pop,oldies-60s,oldies-70s,date-night,family,indoor,relaxed,1-2hr","music,variety","pop,oldies-60s,oldies-70s","date-night,family","indoor,relaxed,1-2hr","Broadway and Buble suggests a vocal/pop music show with variety elements, likely appealing to date-night and family audiences in an indoor theater setting with a 2-hour runtime.",3.3,,
carpenters-once-more,Carpenters Once More,show,0.85,"music,tribute,pop,oldies-70s,family,date-night,indoor,relaxed,1-2hr","music,tribute","pop,oldies-70s","family,date-night","indoor,relaxed,1-2hr","Carpenters Once More is a tribute show celebrating the Carpenters, a popular 70s pop duo, likely appealing to families and couples in a relaxed indoor setting with a 2-hour duration.",3.6,,
classic-country-and-comedy,Classic Country and Comedy,family,0.88,"music,comedy,country,family,indoor,1-2hr","music,comedy",country,family,"indoor,1-2hr","Classic country music with comedy elements at an indoor theatre, family-friendly, with a clear 2-hour duration.",2.3,,
classic-rock-icons,Classic Rock Icons,show,0.82,"music,tribute,rock,adult-humor,date-night,indoor,1-2hr","music,tribute",rock,"adult-humor,date-night","indoor,1-2hr","Classic Rock Icons is clearly a tribute/music show focused on rock music, likely appealing to adults and date-night audiences, with a 2-hour duration placing it in the 1-2hr bracket.",2.8,,
clay-cooper-s-country-express,Clay Cooper's Country Express,family,0.88,"music,variety,country,family,indoor,1-2hr","music,variety",country,family,"indoor,1-2hr",Clay Cooper's Country Express is a well-known Branson country music variety show explicitly categorized as family with a 2-hour duration.,2.4,,
comedy-jamboree,Comedy Jamboree,family,0.8,"comedy,variety,family,indoor,1-2hr","comedy,variety",,family,"indoor,1-2hr","Comedy Jamboree is a family-oriented comedy/variety show with a 2-hour duration, likely held indoors based on typical Branson show venues.",2.5,,
dan-wagner-s-johnny-cash-friends-tribute,Dan Wagner’s Johnny Cash & Friends Tribute,show,0.88,"music,tribute,country,family,date-night,indoor,1-2hr","music,tribute",country,"family,date-night","indoor,1-2hr","A Johnny Cash tribute show clearly falls under music and tribute categories with country subgenre, family and date-night appeal, indoor setting, and a 2-hour duration.",3.8,,
darryl-worley,Darryl Worley,show,0.82,"music,country,family,date-night,indoor,relaxed,1-2hr",music,country,"family,date-night","indoor,relaxed,1-2hr","Darryl Worley is a well-known platinum-selling country music artist, making country music and a family/date-night audience highly likely for a 2-hour live show in Branson.",3.0,,
david-sight-sound-theatres,DAVID (Sight & Sound Theatres),show,0.88,"drama,music,gospel,family,religious,indoor,relaxed,2-3hr","drama,music",gospel,"family,religious","indoor,relaxed,2-3hr","Sight & Sound Theatres is well-known for large-scale biblical drama productions with live animals, original music, and strong religious/family appeal, fitting drama, gospel, religious, and family tags",3.3,,
dean-z-the-ultimate-elvis,Dean Z - The Ultimate Elvis,show,0.85,"tribute,music,rock,oldies-50s,oldies-60s,family,date-night,indoor,1-2hr","tribute,music","rock,oldies-50s,oldies-60s","family,date-night","indoor,1-2hr","Dean Z is clearly an Elvis tribute show featuring rock and oldies music from the 50s and 60s, suitable for families and date nights, with a 2-hour duration.",3.7,,
dolly-partons-stampede,Dolly Parton's Stampede,show,0.85,"variety,country,family,date-night,indoor,food,1-2hr",variety,country,"family,date-night","indoor,food,1-2hr","Dolly Parton's Stampede is a well-known dinner show featuring country music, horse stunts, and variety entertainment suitable for families and couples, calibrated against the teaching example.",2.6,,no
doo-wop-more,Doo Wop & More,show,0.82,"music,variety,oldies-50s,oldies-60s,family,date-night,indoor,relaxed,1-2hr","music,variety","oldies-50s,oldies-60s","family,date-night","indoor,relaxed,1-2hr","Doo Wop music is strongly associated with the 1950s-60s era, and the 2-hour duration and family/date-night appeal are consistent with typical Branson music shows.",2.6,,
doug-gabriel-the-ultimate-variety-show,Doug Gabriel - The Ultimate Variety Show,show,0.7,"variety,music,country,pop,oldies-60s,oldies-70s,oldies-80s,family,date-night,indoor,1-2hr","variety,music","country,pop,oldies-60s,oldies-70s,oldies-80s","family,date-night","indoor,1-2hr","Doug Gabriel is known as a versatile performer covering multiple genres in a variety show format, appealing to families and couples, with a 2-hour duration.",2.9,,
down-home-country,Down Home Country,family,0.82,"music,variety,country,family,indoor,1-2hr","music,variety",country,family,"indoor,1-2hr",The name and category clearly indicate a country music variety show suitable for families with a 2-hour duration.,2.5,,
dublin-s-irish-tenors-the-celtic-ladies,Dublin's Irish Tenors & The Celtic Ladies,show,0.8,"music,variety,classical,pop,family,date-night,indoor,1-2hr","music,variety","classical,pop","family,date-night","indoor,1-2hr","Irish tenors and Celtic ladies performing classical and modern hits suggests a music/variety show with classical and pop subgenres, suitable for families and date nights, indoors with a 2-hour duratio",3.6,,
gene-watson,Gene Watson,show,0.85,"music,country,family,date-night,indoor,relaxed,1-2hr",music,country,"family,date-night","indoor,relaxed,1-2hr","Gene Watson is a well-known country music artist, so this is clearly a country music show with a relaxed family/date-night appeal and a 2-hour duration.",2.8,,
george-jones-haggard-friends,"George Jones, Haggard & Friends",show,0.85,"music,tribute,country,family,date-night,indoor,1-2hr","music,tribute",country,"family,date-night","indoor,1-2hr","A tribute show honoring George Jones and Merle Haggard clearly falls into country music tribute category, suitable for families and date nights, with a 2-hour duration.",2.4,,
george-strait-tribute,George Strait Tribute,show,0.9,"music,tribute,country,family,date-night,indoor,1-2hr","music,tribute",country,"family,date-night","indoor,1-2hr","A George Strait tribute show clearly features country music in a tribute format, suitable for families and date nights, with a 2-hour indoor performance.",2.5,,
golden-sounds-of-the-platters,Golden Sounds of the Platters,show,0.82,"music,tribute,oldies-50s,oldies-60s,family,date-night,indoor,relaxed,1-2hr","music,tribute","oldies-50s,oldies-60s","family,date-night","indoor,relaxed,1-2hr","The Platters were a famous vocal group from the 1950s-60s, so this is clearly a tribute/music show featuring oldies from those decades, with a family and date-night appeal and a 2-hour duration.",3.4,,
grand-jubilee,Grand Jubilee,family,0.75,"variety,music,country,gospel,family,indoor,1-2hr","variety,music","country,gospel",family,"indoor,1-2hr","Grand Jubilee is a well-known Branson family variety show with music elements, likely featuring country and gospel based on its Branson heritage, with a 2-hour duration.",4.5,,no
hamners-unbelievable-variety-show,Hamners' Unbelievable Variety Show,family,0.82,"variety,magic,family,date-night,indoor,1-2hr","variety,magic",,"family,date-night","indoor,1-2hr","Hamners' is a well-known Branson variety show featuring magic and illusions, suitable for families and date nights, running approximately 2 hours indoors.",3.4,,
hamners-all-american-new-year-s-eve-celebration,Hamners’ All American New Year’s Eve Celebration,show,0.5,"variety,family,date-night,indoor,1-2hr",variety,,"family,date-night","indoor,1-2hr","New Year's Eve celebration show at Hamners' suggests a variety format suitable for families and couples, likely indoors with a 2-hour duration, but sparse description limits confidence.",2.5,,
hot-rods-high-heels,Hot Rods & High Heels,show,0.65,"music,variety,oldies-50s,oldies-60s,rock,family,date-night,indoor,1-2hr","music,variety","oldies-50s,oldies-60s,rock","family,date-night","indoor,1-2hr","The name 'Hot Rods & High Heels' and phrase 'glad rags' strongly suggest a 1950s/60s rock-and-roll themed variety show, likely family and date-night friendly with a 2-hour runtime.",3.1,,
hughes-brothers-country-show,Hughes Brothers Country Show,show,0.75,"music,variety,country,family,date-night,indoor,1-2hr","music,variety",country,"family,date-night","indoor,1-2hr","The Hughes Brothers are a well-known Branson family act performing country music in a variety show format, suitable for families and couples, with a 2-hour duration.",2.5,,
hughes-music-show,Hughes Music Show,show,0.55,"music,variety,country,oldies-50s,oldies-60s,oldies-70s,family,date-night,indoor,1-2hr","music,variety","country,oldies-50s,oldies-60s,oldies-70s","family,date-night","indoor,1-2hr","Hughes Music Show is a well-known Branson family music and variety show, but the sparse description limits confidence in specific subgenre and vibe tags.",2.7,,
illusionist-rick-thomas,Illusionist Rick Thomas,show,0.88,"magic,variety,family,date-night,indoor,1-2hr","magic,variety",,"family,date-night","indoor,1-2hr","A magic/illusion stage show at a theater is clearly indoor, family and date-night friendly, with a 2-hour duration fitting the 1-2hr bracket.",3.7,,
jerry-presley-elvis-live,Jerry Presley Elvis Live!,show,0.88,"music,tribute,rock,oldies-50s,oldies-60s,family,date-night,indoor,1-2hr","music,tribute","rock,oldies-50s,oldies-60s","family,date-night","indoor,1-2hr","Jerry Presley Elvis Live is clearly an Elvis tribute show featuring rock and oldies music from the 50s and 60s, suitable for families and date nights, with a 2-hour duration.",2.9,,
jimmy-fortune,Jimmy Fortune,show,0.75,"music,country,family,date-night,indoor,relaxed,1-2hr",music,country,"family,date-night","indoor,relaxed,1-2hr","Jimmy Fortune is a well-known country singer and songwriter, formerly of The Statler Brothers, making country music and family/date-night audience tags highly likely for a 2-hour indoor show.",2.9,,
joe-nichols,Joe Nichols,show,0.85,"music,country,family,date-night,indoor,relaxed,1-2hr",music,country,"family,date-night","indoor,relaxed,1-2hr","Joe Nichols is a well-known country music artist with a 20-year career, making this a country music show suitable for families and date nights with a 2-hour duration.",2.6,,
josh-turner,Josh Turner,show,0.88,"music,country,family,date-night,indoor,1-2hr",music,country,"family,date-night","indoor,1-2hr","Josh Turner is a well-known country music artist famous for his deep baritone voice, making this clearly a country music show suitable for families and date nights with a 2-hour duration.",2.4,,
kenny-rogers-tribute,Kenny Rogers Tribute,show,0.9,"music,tribute,country,family,date-night,indoor,1-2hr","music,tribute",country,"family,date-night","indoor,1-2hr","Kenny Rogers is a well-known country music artist, making this clearly a country music tribute show suitable for families and date nights at an indoor theater.",3.1,,
kentucky-headhunters,Kentucky Headhunters,show,0.75,"music,country,rock,family,date-night,indoor,1-2hr",music,"country,rock","family,date-night","indoor,1-2hr","The Kentucky Headhunters are a well-known country-rock band, making music with country and rock subgenres appropriate, with a typical 2-hour show duration in an indoor venue.",2.8,,
legends-in-concert,Legends in Concert,family,0.82,"tribute,music,country,rock,pop,oldies-50s,oldies-60s,oldies-70s,oldies-80s,family,date-night,indoor,1-2hr","tribute,music","country,rock,pop,oldies-50s,oldies-60s,oldies-70s,oldies-80s","family,date-night","indoor,1-2hr","Legends in Concert is a well-known tribute show featuring impersonators of famous musicians across multiple genres, suitable for families and date nights with a 2-hour duration.",3.2,,
malpass-brothers-friends,Malpass Brothers & Friends,show,0.75,"music,country,family,date-night,indoor,1-2hr",music,country,"family,date-night","indoor,1-2hr","The Malpass Brothers are a well-known traditional country music act, and the 2-hour duration fits the 1-2hr tag; family and date-night are reasonable audience assumptions for a country music show in B",2.5,,
matt-gumm-and-company,Matt Gumm and Company,show,0.75,"comedy,variety,family,adult-humor,indoor,1-2hr","comedy,variety",,"family,adult-humor","indoor,1-2hr","Matt Gumm is identified as a comedian with a company, suggesting a comedy/variety show with family and adult-humor appeal, running approximately 2 hours indoors.",2.5,,
melody-hart-the-all-star-band,Melody Hart & The All Star Band,show,0.6,"music,variety,country,pop,family,date-night,indoor,1-2hr","music,variety","country,pop","family,date-night","indoor,1-2hr","The name and 'heartwarming' descriptor suggest a live music variety show with broad appeal, likely country/pop oriented, but limited description prevents higher confidence on subgenres or vibe.",3.2,,
menopause-the-musical,Menopause The Musical,show,0.75,"music,comedy,adult-humor,date-night,indoor,1-2hr","music,comedy",,"adult-humor,date-night","indoor,1-2hr","Menopause The Musical is a well-known comedy musical show targeting adult women and couples, with adult humor and a typical 2-hour runtime performed indoors.",3.0,,
motown-downtown,Motown Downtown,show,0.75,"music,tribute,oldies-60s,oldies-70s,pop,family,date-night,indoor,1-2hr","music,tribute","oldies-60s,oldies-70s,pop","family,date-night","indoor,1-2hr","Motown music is strongly associated with the 60s and 70s soul/pop sound, making it a tribute music show with broad family and date-night appeal, likely running about 2 hours indoors.",3.3,,
nashville-roadhouse-live,Nashville Roadhouse Live,show,0.82,"music,variety,country,oldies-50s,oldies-60s,oldies-70s,oldies-80s,family,date-night,indoor,1-2hr","music,variety","country,oldies-50s,oldies-60s,oldies-70s,oldies-80s","family,date-night","indoor,1-2hr","Nashville Roadhouse Live is an award-winning show likely featuring country and multi-decade oldies music, suitable for families and date nights, with a 2-hour duration placing it in the 1-2hr bracket ",3.5,,no
neal-mccoy,Neal McCoy,show,0.82,"music,country,family,date-night,indoor,relaxed,1-2hr",music,country,"family,date-night","indoor,relaxed,1-2hr","Neal McCoy is a well-known country music artist, so this is clearly a country music show with family and date-night appeal, running approximately 2 hours indoors in Branson.",3.1,,
new-jersey-nights,New Jersey Nights,show,0.88,"music,tribute,oldies-60s,pop,family,date-night,indoor,relaxed,1-2hr","music,tribute","oldies-60s,pop","family,date-night","indoor,relaxed,1-2hr","A tribute show to Frankie Valli and The Four Seasons clearly fits music and tribute categories with 60s pop subgenres, family and date-night appeal, held indoors at King's Castle Theatre with a 2-hour",3.1,,
new-south-gospel,New South Gospel,family,0.82,"music,gospel,country,family,religious,indoor,relaxed,1-2hr",music,"gospel,country","family,religious","indoor,relaxed,1-2hr","Name and 'southern gospel' description clearly indicate a gospel music show with family and religious audience appeal, typical indoor 2-hour duration.",3.2,,
orbison-still,Orbison Still,show,0.72,"music,tribute,oldies-60s,rock,family,date-night,indoor,relaxed,1-2hr","music,tribute","oldies-60s,rock","family,date-night","indoor,relaxed,1-2hr","Orbison Still is a tribute show to Roy Orbison, featuring his classic rock/pop music from the 1960s, likely appealing to families and date-night audiences in a relaxed indoor setting with a 2-hour dur",2.8,,
outpost-opry-variety-show-w-joey-garland,Outpost Opry Variety Show w/ Joey Garland,show,0.6,"variety,music,country,family,indoor,1-2hr","variety,music",country,family,"indoor,1-2hr","An opry-style variety show in Branson strongly suggests country music and family-friendly variety entertainment with a typical 2-hour duration, though limited description reduces confidence.",3.1,,
ozarks-country,Ozarks Country,family,0.72,"music,variety,country,family,indoor,1-2hr","music,variety",country,family,"indoor,1-2hr","The name 'Ozarks Country' and family category strongly suggest a country music variety show with a 2-hour duration, though the truncated description limits full confidence.",2.6,,
ozarks-gospel,Ozarks Gospel,family,0.85,"music,gospel,family,religious,indoor,relaxed,1-2hr",music,gospel,"family,religious","indoor,relaxed,1-2hr","The name and description clearly indicate a gospel music show categorized as family, with a 2-hour duration and likely indoor religious/family-friendly atmosphere.",2.7,,
patsy-to-patsy,Patsy to Patsy,show,0.82,"music,tribute,country,family,date-night,indoor,1-2hr","music,tribute",country,"family,date-night","indoor,1-2hr","Patsy to Patsy is clearly a tribute show featuring the music of Patsy Cline, a classic country artist, with a 2-hour duration suitable for families and date nights.",2.4,,
pierce-arrow-30th-anniversary,Pierce Arrow 30th Anniversary,show,0.8,"music,variety,country,family,date-night,indoor,1-2hr","music,variety",country,"family,date-night","indoor,1-2hr","Pierce Arrow is a well-known Branson country music and variety show, family-friendly with a typical 2-hour runtime.",2.2,,
pierce-arrow-gospel,Pierce Arrow Gospel,show,0.82,"music,variety,gospel,country,family,religious,indoor,1-2hr","music,variety","gospel,country","family,religious","indoor,1-2hr","Pierce Arrow Gospel is a Sunday gospel music show, strongly suggesting religious and family audience with gospel and likely country music subgenres, indoor setting, and approximately 2-hour duration.",3.8,,
pierce-arrow-decades,Pierce Arrow: Decades,show,0.75,"music,variety,oldies-50s,oldies-60s,oldies-70s,oldies-80s,family,date-night,indoor,1-2hr","music,variety","oldies-50s,oldies-60s,oldies-70s,oldies-80s","family,date-night","indoor,1-2hr","Pierce Arrow is a well-known Branson variety/music show covering multiple decades, likely spanning 50s-80s music in a family-friendly indoor setting with a ~2hr runtime.",3.2,,
queens-of-soul,Queens of Soul,show,0.7,"music,tribute,pop,oldies-60s,oldies-70s,family,date-night,indoor,1-2hr","music,tribute","pop,oldies-60s,oldies-70s","family,date-night","indoor,1-2hr","Queens of Soul is a tribute/music show focused on soul music, likely featuring classic hits from the 60s and 70s, with a family and date-night appeal in a typical indoor Branson theater setting.",3.2,,
re-vibe-dinner-show,Re-Vibe Dinner Show,show,0.7,"music,variety,pop,oldies-70s,oldies-80s,family,date-night,indoor,food,1-2hr","music,variety","pop,oldies-70s,oldies-80s","family,date-night","indoor,food,1-2hr","Re-Vibe is described as a family-friendly music/variety dinner show with a 2-hour duration, likely featuring pop and oldies music given the 'vibe' theme, with food included as a dinner show.",3.5,,
reza-edge-of-illusion,Reza Edge of Illusion,show,0.88,"magic,variety,family,date-night,indoor,1-2hr","magic,variety",,"family,date-night","indoor,1-2hr","Reza is a well-known magician, making magic and variety the clear show categories, with family and date-night appeal typical of illusion shows in Branson.",3.2,,
rick-mcewen-presents-the-gambler,Rick McEwen Presents The Gambler,show,0.72,"music,tribute,country,family,date-night,indoor,1-2hr","music,tribute",country,"family,date-night","indoor,1-2hr","The Gambler is a well-known Kenny Rogers song, strongly suggesting this is a country music tribute show with family and date-night appeal, running approximately 2 hours.",3.1,,
riga-tony-s-murder-mystery-dinner-show,Riga-Tony’s Murder Mystery Dinner Show,show,0.8,"variety,adult-humor,date-night,indoor,food,active,2-3hr",variety,,"adult-humor,date-night","indoor,food,active,2-3hr","Murder mystery dinner shows are typically adult-oriented variety experiences with food, suitable for date nights, running approximately 2 hours.",2.3,,no
ripley-s-believe-it-or-not,Ripley's Believe It or Not,family,0.9,"family,kid-focused,indoor,museum,educational,relaxed,under-1hr,1-2hr",,,"family,kid-focused","indoor,museum,educational,relaxed,under-1hr,1-2hr","Ripley's Believe It or Not is a well-known indoor museum attraction with interactive exhibits, clearly family and kid-focused, with a duration around 1 hour fitting under-1hr to 1-2hr range.",3.3,,
rock-n-roll-sunrise,Rock N Roll Sunrise,show,0.75,"music,tribute,rock,oldies-50s,oldies-60s,family,date-night,indoor,1-2hr","music,tribute","rock,oldies-50s,oldies-60s","family,date-night","indoor,1-2hr","Rock N Roll Sunrise is a music/tribute show focused on rock and roll, likely covering 50s and 60s era music, with a family and date-night appeal, running approximately 2 hours.",3.0,,
separate-journeys,Separate Journeys,show,0.45,"variety,drama,adult-humor,date-night,indoor,1-2hr","variety,drama",,"adult-humor,date-night","indoor,1-2hr",Very sparse description mentioning only LA-based origin and 2-hour duration; drama/variety and adult date-night vibe are best guesses with low confidence.,2.7,,
shanghai-circus,Shanghai Circus,family,0.88,"variety,family,kid-focused,indoor,1-2hr",variety,,"family,kid-focused","indoor,1-2hr","Shanghai Circus is a family-friendly variety/acrobatics show held indoors at Mickey Gilley Theatre with a 2-hour duration, great for kids.",2.4,,
shepherd-of-the-hills-outdoor-drama,Shepherd of the Hills Outdoor Drama,show,0.75,"drama,family,outdoor,relaxed,2-3hr,history",drama,,family,"outdoor,relaxed,2-3hr,history","The name clearly indicates an outdoor drama production at Shepherd of the Hills, a historic Ozarks story, with a 2-hour duration placing it in the 2-3hr bracket and an outdoor, family-friendly, histor",3.2,,
shepherd-s-great-american-chuckwagon-dinner-show,Shepherd’s Great American Chuckwagon Dinner Show,show,0.8,"variety,country,family,date-night,outdoor,food,active,half-day",variety,country,"family,date-night","outdoor,food,active,half-day","Chuckwagon dinner shows are typically outdoor western-themed variety performances with food, family-friendly and date-night appeal, consistent with prior corrections for this venue.",9.9,,no
shepherd-s-wild-west-showdown,Shepherd’s Wild West Showdown,show,0.85,"variety,family,outdoor,1-2hr",variety,,family,"outdoor,1-2hr","Based on the teaching example for Shepherd's Wild West Showdown, the corrected tags are variety, family, 1-2hr, outdoor, matching the human-edited result.",3.4,,yes
silver-dollar-cityand8217-s-showboat,Branson Showboat,show,0.7,"variety,family,date-night,indoor,2-3hr",variety,,"family,date-night","indoor,2-3hr","Based on the teaching example for Branson Showboat, the corrected tags are variety, family, date-night, indoor, 2-3hr with no music subgenres specified.",2.4,,yes
six,SIX,show,0.7,"music,variety,adult-humor,date-night,indoor,1-2hr","music,variety",,"adult-humor,date-night","indoor,1-2hr","SIX is a known Branson music/variety show with adult appeal and date-night vibe, running approximately 2 hours indoors, consistent with prior calibration example.",3.0,,no
smoke-on-the-mountain,Smoke On The Mountain,show,0.75,"music,comedy,gospel,country,family,religious,indoor,1-2hr","music,comedy","gospel,country","family,religious","indoor,1-2hr","Smoke on the Mountain is a well-known musical comedy set in a Baptist church featuring gospel and country music, suitable for families with religious themes, running approximately 2 hours.",2.6,,
southern-gospel-sundays-with-the-frosts,Southern Gospel Sundays with The Frosts,show,0.85,"music,gospel,family,religious,indoor,relaxed,1-2hr",music,gospel,"family,religious","indoor,relaxed,1-2hr","Southern Gospel Sundays clearly indicates a gospel music show with religious and family-friendly appeal, approximately 2 hours in duration.",2.7,,
steve-sanders-the-mind-spy,Steve Sanders The Mind Spy,show,0.75,"variety,magic,family,date-night,indoor,1-2hr","variety,magic",,"family,date-night","indoor,1-2hr","The name 'Mind Spy' strongly suggests a mentalism/magic-based variety show, suitable for families and date nights, with a 2-hour indoor performance.",2.8,,
